TIF,施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,回答数順位,回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
富山県,滑川市,53,,,,,,,,4.169811321,,,,,25,5,0.377358491,,,,1,4,10,8,12,17,1,0,0,0,29,24,12,12,5,9,15,3,0,7,20,1,13,0,0,1,8,0,0,6,6,37,10,0,0,0,2,0,4,0,0,0,0,4,0,3,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,1,3,1,8,1,4,5,4,1,0,2,3,2,6,0,1,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
富山県,高岡市,139,,,,,,,,4.273381295,,,,,77,15,0.446043166,,,,0,12,9,23,47,33,14,0,0,0,62,76,49,35,18,11,26,14,11,15,51,5,24,0,0,7,9,0,3,27,37,85,23,0,0,0,18,0,4,8,8,0,1,12,0,1,,,,,,,,,,,,,,2,0,0,1,0,0,0,1,1,1,3,2,12,9,2,32,10,3,3,10,9,4,5,1,0,2,10,8,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2
富山県,富山市,281,,,,,,,,4.341637011,,,,,154,34,0.427046263,,,,2,13,28,39,74,94,27,0,0,0,106,168,100,59,22,27,73,43,14,31,99,7,47,0,0,17,15,0,8,54,90,158,43,0,0,0,16,0,21,24,24,0,3,23,0,10,,,,,,,,,,,,,,3,0,0,0,0,3,1,3,2,1,10,10,31,10,6,87,9,5,1,8,13,1,15,5,4,2,12,18,2,1,0,1,1,3,1,2,0,0,2,2,0,0,0,2,0,2,2
富山県,魚津市,70,,,,,,,,4.157142857,,,,,36,16,0.285714286,,,,0,2,8,9,24,23,4,0,0,0,36,34,22,18,3,15,12,14,2,9,26,1,6,0,0,8,2,0,2,7,10,40,8,0,0,0,1,0,5,2,2,0,3,7,0,5,,,,,,,,,,,,,,1,0,0,2,0,2,3,1,0,1,4,1,8,1,1,12,2,1,0,5,1,2,4,2,3,0,6,2,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
富山県,朝日町,27,,,,,,,,4.111111111,,,,,14,7,0.259259259,,,,0,2,1,6,8,9,1,0,0,0,9,18,9,3,4,0,11,4,0,2,8,0,8,0,0,0,4,0,1,7,7,15,6,0,0,0,0,0,0,2,2,0,1,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,10,3,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
富山県,入善町,18,,,,,,,,4.277777778,,,,,7,2,0.277777778,,,,0,2,1,1,7,6,1,0,0,0,9,9,3,2,0,0,13,2,1,0,5,0,5,0,0,2,3,0,0,2,4,12,2,0,0,0,1,0,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,9,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,南砺市,47,,,,,,,,4.276595745,,,,,19,6,0.276595745,,,,0,1,3,3,8,24,8,0,0,0,17,30,18,6,2,2,19,4,0,2,26,2,9,0,0,2,2,0,0,13,15,31,10,0,0,0,5,0,3,4,4,0,0,8,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,11,15,3,0,2,5,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,小矢部市,39,,,,,,,,4.256410256,,,,,20,6,0.358974359,,,,0,2,1,13,7,15,1,0,0,0,19,20,12,1,2,1,23,4,3,2,15,0,4,0,0,5,6,0,0,6,7,17,3,0,0,0,7,0,3,3,3,0,0,2,0,1,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,17,10,1,0,1,0,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,金沢城公園,564,12,14,-0.142857143,5,20,4.502136752,3.583333333,4.42745098,3.833333333,4.606860158,4.416666667,8.455673759,316,71,0.434397163,5,3,0.166666667,0.017730496,0.147163121,0.171985816,0.191489362,0.258865248,0.161347518,0.05141844,0,0,0,0.409574468,0.576241135,0.381205674,0.319148936,0.070921986,0.081560284,0.147163121,0.212765957,0.078014184,0.14893617,0.244680851,0.008865248,0,0.086879433,0.017730496,0.083333333,0.023049645,0.00177305,0,0.145390071,0.173758865,0.622340426,0.129432624,0,0,0,0.076241135,0,0,0,0,0,0,0.031914894,0,0.04787234,0.058510638,0.056737589,0.090425532,0.118794326,0.15248227,0.115248227,0.079787234,0.079787234,0.044326241,0.062056738,0.063829787,0.024822695,0.053191489,0.015957447,0.00177305,0.003546099,0.008865248,0,0.003546099,0.007092199,0.021276596,0.023049645,0.014184397,0.062056738,0.074468085,0.157801418,0.065602837,0.017730496,0.031914894,0.078014184,0.014184397,0.005319149,0.014184397,0.024822695,0.033687943,0.083333333,0.014184397,0.014184397,0.026595745,0.078014184,0.053191489,0.008865248,0,0.00177305,0,0.005319149,0.00177305,0.00177305,0.00177305,0,0.003546099,0,0.010638298,0.00177305,0,0,0.007092199,0,0,0.007092199
石川県,兼六園,108,2,1,1,24,38,4.477272727,5,4.52,5,4.621621622,5,8.509259259,62,15,0.435185185,1,0,0.5,0.018518519,0.166666667,0.148148148,0.231481482,0.212962963,0.203703704,0.018518519,0,0,0,0.240740741,0.731481482,0.462962963,0.287037037,0.101851852,0.037037037,0.111111111,0.092592593,0.12037037,0.157407407,0.342592593,0.009259259,0,0.12962963,0.018518519,0.018518519,0.027777778,0,0,0.055555556,0.148148148,0.703703704,0.166666667,0,0,0,0.046296296,0,0,0,0,0,0,0.018518519,0,0.046296296,0.027777778,0.055555556,0.12037037,0.111111111,0.101851852,0.12962963,0.101851852,0.074074074,0.055555556,0.064814815,0.101851852,0.046296296,0.009259259,0.018518519,0,0,0.009259259,0.009259259,0,0,0.009259259,0.027777778,0.018518519,0.074074074,0.092592593,0.175925926,0.12962963,0.009259259,0.027777778,0.074074074,0,0.009259259,0.027777778,0.018518519,0.009259259,0.046296296,0.018518519,0.009259259,0.027777778,0.046296296,0.009259259,0.009259259,0.009259259,0,0,0,0.009259259,0,0.009259259,0,0,0,0.027777778,0,0.009259259,0,0.018518519,0,0,0.009259259
石川県,金沢駅,247,48,41,0.170731707,11,4,4.462222222,4.3125,4.427350427,4.270833333,4.647540984,4.4375,8.704453441,144,16,0.518218624,27,2,0.520833333,0.032388664,0.16194332,0.165991903,0.210526316,0.230769231,0.182186235,0.012145749,0.004048583,0,0,0.372469636,0.607287449,0.412955466,0.28340081,0.097165992,0.101214575,0.105263158,0.234817814,0.060728745,0.109311741,0.263157895,0.012145749,0.004048583,0.117408907,0.048582996,0.036437247,0.012145749,0,0.008097166,0.170040486,0.170040486,0.655870445,0.068825911,0,0,0,0.048582996,0,0,0,0,0,0,0,0,0.097165992,0.064777328,0.056680162,0.060728745,0.072874494,0.125506073,0.12145749,0.093117409,0.076923077,0.085020243,0.04048583,0.085020243,0.056680162,0.060728745,0.004048583,0,0.016194332,0,0,0.008097166,0.004048583,0.012145749,0.004048583,0.012145749,0.056680162,0.036437247,0.20242915,0.089068826,0.004048583,0.032388664,0.028340081,0.008097166,0,0.052631579,0.012145749,0.016194332,0.068825911,0.004048583,0.004048583,0.028340081,0.153846154,0.048582996,0.012145749,0.008097166,0,0,0.016194332,0.032388664,0,0,0,0,0,0.008097166,0.004048583,0.004048583,0,0,0,0.004048583,0.004048583
石川県,金沢中央観光案内所,902,30,28,0.071428571,2,10,4.392510402,3.266666667,4.408854167,3.666666667,4.584158416,4.366666667,8.074279379,413,174,0.264966741,13,5,0.266666667,0.029933481,0.186252772,0.202882483,0.179600887,0.237250554,0.137472284,0.026607539,0,0,0,0.337028825,0.630820399,0.344789357,0.333702883,0.100886918,0.119733925,0.100886918,0.195121951,0.11308204,0.128603104,0.252771619,0.003325942,0.001108647,0.118625277,0.014412417,0.066518847,0.015521064,0.001108647,0,0.187361419,0.130820399,0.662971175,0.094235033,0,0,0,0.070953437,0,0,0,0,0,0,0.009977827,0,0.034368071,0.072062084,0.034368071,0.068736142,0.129711752,0.126385809,0.10864745,0.086474501,0.057649667,0.055432373,0.064301552,0.093126386,0.038802661,0.064301552,0.011086475,0.003325942,0.007760532,0.015521064,0.002217295,0.007760532,0.003325942,0.022172949,0.013303769,0.009977827,0.05210643,0.050997783,0.227272727,0.093126386,0.011086475,0.026607539,0.050997783,0.005543237,0.002217295,0.006651885,0.016629712,0.025498891,0.062084257,0.00886918,0.00886918,0.039911308,0.094235033,0.038802661,0.014412417,0.007760532,0.001108647,0.002217295,0.006651885,0.005543237,0.002217295,0.001108647,0.003325942,0.002217295,0.002217295,0.013303769,0.002217295,0.001108647,0.006651885,0.003325942,0.002217295,0.002217295,0.002217295
石川県,長町武家屋敷休憩館,90,3,4,-0.25,28,33,4.415584416,4.333333333,4.43902439,4.333333333,4.555555556,4.666666667,8.333333333,46,13,0.366666667,1,1,0,0.044444444,0.155555556,0.155555556,0.233333333,0.166666667,0.2,0.044444444,0,0,0,0.388888889,0.6,0.333333333,0.322222222,0.177777778,0.111111111,0.055555556,0.1,0.144444444,0.111111111,0.388888889,0,0,0.122222222,0.022222222,0.033333333,0,0,0,0.211111111,0.211111111,0.622222222,0.088888889,0,0,0,0.011111111,0,0,0,0,0,0,0,0,0.022222222,0.066666667,0.022222222,0.066666667,0.122222222,0.111111111,0.133333333,0.1,0.055555556,0.066666667,0.088888889,0.088888889,0.044444444,0.033333333,0.044444444,0.022222222,0,0,0,0,0,0,0,0.077777778,0.044444444,0.1,0.211111111,0.111111111,0.022222222,0.022222222,0.033333333,0,0,0.011111111,0.033333333,0,0.1,0,0,0.022222222,0.033333333,0.044444444,0.022222222,0,0.011111111,0,0,0.011111111,0,0,0,0,0,0.011111111,0.011111111,0,0,0,0,0,0
石川県,西茶屋資料館,66,0,1,-1,38,51,4.410714286,,4.440677966,,4.527777778,,7.166666667,18,21,-0.045454545,0,0,,0,0.166666667,0.272727273,0.121212121,0.303030303,0.136363636,0,0,0,0,0.333333333,0.636363636,0.287878788,0.439393939,0.136363636,0.045454545,0.090909091,0.166666667,0.075757576,0.106060606,0.409090909,0,0,0.121212121,0.015151515,0.045454545,0.045454545,0,0,0.196969697,0.151515152,0.712121212,0.075757576,0,0,0,0.015151515,0,0,0,0,0,0,0.015151515,0,0.015151515,0.015151515,0.03030303,0.106060606,0.060606061,0.106060606,0.151515152,0.045454545,0.045454545,0.03030303,0.106060606,0.151515152,0.090909091,0.060606061,0,0,0,0,0,0.015151515,0,0,0.045454545,0,0.090909091,0.090909091,0.318181818,0.060606061,0.045454545,0.015151515,0.015151515,0.03030303,0.015151515,0,0,0,0.045454545,0,0.03030303,0.045454545,0.045454545,0.045454545,0.015151515,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0
石川県,ひがし茶屋休憩館,88,1,1,0,29,41,4.580246914,4,4.588235294,5,4.719298246,5,8.522727273,49,9,0.454545455,0,0,0,0.034090909,0.238636364,0.181818182,0.215909091,0.272727273,0.056818182,0,0,0,0,0.352272727,0.647727273,0.306818182,0.420454546,0.045454545,0.102272727,0.125,0.170454546,0.136363636,0.159090909,0.238636364,0.011363636,0,0.147727273,0,0.056818182,0.011363636,0,0,0.227272727,0.193181818,0.784090909,0.079545455,0,0,0,0.011363636,0,0,0,0,0,0,0,0,0.022727273,0.090909091,0.034090909,0.079545455,0.090909091,0.193181818,0.056818182,0.079545455,0.079545455,0.034090909,0.090909091,0.068181818,0.045454545,0.056818182,0.022727273,0,0,0,0,0.011363636,0,0.022727273,0,0.011363636,0.056818182,0.068181818,0.181818182,0.136363636,0.034090909,0.011363636,0.022727273,0.011363636,0.011363636,0.022727273,0.011363636,0.034090909,0.068181818,0,0.011363636,0.034090909,0.113636364,0.011363636,0.011363636,0,0,0,0,0.045454545,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0.011363636
石川県,石川県政記念しいのき迎賓館,84,14,2,6,30,18,4.464788732,4,4.481012658,4.285714286,4.608695652,4.642857143,8.154761905,38,14,0.285714286,8,2,0.428571429,0,0.166666667,0.166666667,0.202380952,0.261904762,0.190476191,0.011904762,0,0,0,0.345238095,0.630952381,0.30952381,0.238095238,0.130952381,0.107142857,0.214285714,0.166666667,0.107142857,0.178571429,0.297619048,0,0,0.047619048,0.023809524,0.119047619,0,0,0,0.190476191,0.214285714,0.607142857,0.107142857,0,0,0,0.166666667,0,0,0,0,0,0,0.035714286,0,0.095238095,0.05952381,0.023809524,0.071428571,0.107142857,0.071428571,0.095238095,0.107142857,0.083333333,0.071428571,0.083333333,0.095238095,0.023809524,0.107142857,0.011904762,0,0,0,0.011904762,0,0,0.011904762,0,0.035714286,0.05952381,0,0.130952381,0.05952381,0.011904762,0.083333333,0.261904762,0,0,0,0,0,0.05952381,0.011904762,0,0.05952381,0.107142857,0.023809524,0,0,0,0,0.023809524,0.011904762,0,0,0.011904762,0,0,0.011904762,0,0,0,0,0,0,0
石川県,石川県立図書館,958,8,0,,1,24,4.650057937,4.125,4.701475596,4.625,4.601760176,4,8.618997912,597,112,0.506263048,5,1,0.5,0.041753653,0.207724426,0.16388309,0.200417537,0.218162839,0.137787056,0.020876827,0.007306889,0.001043841,0.001043841,0.365344468,0.605427975,0.272442589,0.260960334,0.102296451,0.128392484,0.235908142,0.191022965,0.075156576,0.146137787,0.169102297,0.008350731,0,0.111691023,0.011482255,0.129436326,0.052192067,0,0,0.16388309,0.115866388,0.460334029,0.022964509,0,0,0,0.064718163,0,0,0,0,0,0,0.03131524,0,0.039665971,0.064718163,0.032359081,0.065762004,0.10125261,0.11691023,0.139874739,0.08559499,0.065762004,0.080375783,0.057411273,0.090814196,0.049060543,0.050104384,0.022964509,0.002087683,0.001043841,0.006263048,0.001043841,0,0.006263048,0.008350731,0.010438413,0.008350731,0.054279749,0.029227557,0.1565762,0.090814196,0.018789144,0.065762004,0.175365345,0.025052192,0.001043841,0.025052192,0.021920668,0.020876827,0.056367432,0.011482255,0.010438413,0.022964509,0.059498956,0.034446764,0.005219207,0.002087683,0,0.004175365,0.005219207,0.008350731,0,0.001043841,0.001043841,0.002087683,0,0.007306889,0.006263048,0.004175365,0.001043841,0.003131524,0,0.002087683,0
石川県,石川県立歴史博物館,371,39,32,0.21875,9,7,4.504424779,4.358974359,4.552023121,4.358974359,4.580060423,4.487179487,8.226415094,174,59,0.309973046,18,3,0.384615385,0.032345013,0.239892183,0.153638814,0.169811321,0.196765499,0.15902965,0.04851752,0,0,0,0.46361186,0.509433962,0.323450135,0.315363881,0.099730458,0.088948787,0.172506739,0.253369272,0.121293801,0.123989218,0.266846361,0.005390836,0,0.088948787,0.016172507,0.029649596,0.002695418,0,0,0.167115903,0.118598383,0.541778976,0.094339623,0,0,0,0.051212938,0,0,0,0,0,0,0.016172507,0,0.051212938,0.04851752,0.053908356,0.086253369,0.132075472,0.132075472,0.091644205,0.067385445,0.043126685,0.051212938,0.064690027,0.080862534,0.051212938,0.09703504,0.013477089,0.002695418,0.002695418,0,0.005390836,0.005390836,0,0.016172507,0.005390836,0.021563342,0.04851752,0.051212938,0.191374663,0.099730458,0.005390836,0.043126685,0.105121294,0.010781671,0.010781671,0.02425876,0.010781671,0.026954178,0.070080863,0.013477089,0.018867925,0.035040431,0.080862534,0.035040431,0.010781671,0.005390836,0,0,0.005390836,0,0,0,0.010781671,0,0,0.008086253,0,0,0,0,0,0,0.005390836
石川県,石川県立美術館,133,0,0,,21,52,4.369369369,,4.475,,4.474576271,,7.954887218,58,25,0.248120301,0,0,,0,0.180451128,0.187969925,0.195488722,0.240601504,0.165413534,0.030075188,0,0,0,0.390977444,0.593984962,0.360902256,0.172932331,0.082706767,0.097744361,0.285714286,0.270676692,0.105263158,0.097744361,0.308270677,0.007518797,0,0.090225564,0.007518797,0.037593985,0.030075188,0,0,0.165413534,0.120300752,0.511278196,0.07518797,0,0,0,0.030075188,0,0,0,0,0,0,0.015037594,0,0.007518797,0.030075188,0.037593985,0.105263158,0.105263158,0.112781955,0.082706767,0.112781955,0.105263158,0.045112782,0.07518797,0.097744361,0.045112782,0.045112782,0.022556391,0,0,0,0,0,0.007518797,0.030075188,0.007518797,0.007518797,0.015037594,0.015037594,0.165413534,0.097744361,0.015037594,0.082706767,0.180451128,0.037593985,0,0.037593985,0.022556391,0.007518797,0.022556391,0.015037594,0.022556391,0.022556391,0.030075188,0.037593985,0.037593985,0,0.022556391,0,0.007518797,0.007518797,0.007518797,0,0,0,0,0.007518797,0,0,0,0,0,0,0.007518797
石川県,からくり記念館,47,0,0,,49,53,4.511627907,,4.466666667,,4.514285714,,8.212765957,20,5,0.319148936,0,0,,0.021276596,0.127659575,0.234042553,0.29787234,0.127659575,0.14893617,0.042553191,0,0,0,0.531914894,0.468085106,0.276595745,0.361702128,0.042553191,0.14893617,0.170212766,0.127659575,0.085106383,0.106382979,0.234042553,0,0,0.063829787,0.021276596,0.212765957,0.063829787,0,0,0.085106383,0.276595745,0.489361702,0.063829787,0,0,0,0.085106383,0,0,0,0,0,0,0.085106383,0,0.042553191,0,0,0.106382979,0.106382979,0.085106383,0.063829787,0.106382979,0.106382979,0.063829787,0.085106383,0.170212766,0.063829787,0.042553191,0.021276596,0,0,0,0,0,0,0,0,0,0.042553191,0.021276596,0.063829787,0.021276596,0.042553191,0.085106383,0.085106383,0,0,0.042553191,0.042553191,0.021276596,0.042553191,0.085106383,0.021276596,0.063829787,0.14893617,0.042553191,0,0,0,0.021276596,0,0.042553191,0,0,0,0,0,0,0,0,0,0.021276596,0.021276596,0,0
石川県,ホテル・トリフィート金沢,139,1,0,,20,42,4.597014925,5,4.591240876,5,4.660550459,5,8.71942446,83,11,0.517985612,1,0,1,0.007194245,0.18705036,0.223021583,0.151079137,0.26618705,0.143884892,0.021582734,0,0,0,0.338129496,0.647482014,0.410071942,0.474820144,0.057553957,0.057553957,0,0.09352518,0.136690648,0.122302158,0.244604317,0,0,0.136690648,0.028776978,0.043165468,0.021582734,0,0,0.194244604,0.09352518,0.705035971,0.057553957,0,0,0,0.014388489,0,0,0,0,0,0,0,0,0.071942446,0.014388489,0.021582734,0.064748201,0.151079137,0.115107914,0.107913669,0.050359712,0.057553957,0.057553957,0.086330935,0.151079137,0.057553957,0.064748201,0.021582734,0.014388489,0,0.007194245,0,0,0.014388489,0,0.014388489,0.021582734,0.100719425,0.071942446,0.26618705,0.100719425,0.021582734,0,0.057553957,0,0,0,0.021582734,0.035971223,0.050359712,0.007194245,0.007194245,0.014388489,0.071942446,0.014388489,0,0,0,0.014388489,0.007194245,0.021582734,0,0,0,0,0,0.007194245,0,0,0.007194245,0.007194245,0,0,0
石川県,ダイワロイネットホテル金沢MIYABI,79,10,0,,33,21,4.662337662,4.1,4.701298701,4.1,4.69047619,4.6,8.860759494,53,6,0.594936709,4,2,0.2,0,0.139240506,0.291139241,0.227848101,0.253164557,0.063291139,0.025316456,0,0,0,0.35443038,0.632911392,0.493670886,0.265822785,0.126582279,0.101265823,0.012658228,0.113924051,0.113924051,0.101265823,0.215189873,0,0.012658228,0.113924051,0.113924051,0.126582279,0.025316456,0,0,0.227848101,0.189873418,0.658227848,0.075949367,0,0,0,0.012658228,0,0,0,0,0,0,0,0,0.113924051,0.012658228,0.063291139,0.050632911,0.164556962,0.063291139,0.063291139,0.088607595,0.075949367,0.101265823,0.050632911,0.126582279,0.025316456,0.113924051,0.025316456,0,0,0.050632911,0,0,0.025316456,0.050632911,0.012658228,0,0.050632911,0.025316456,0.202531646,0.037974684,0.025316456,0.012658228,0.050632911,0,0,0.025316456,0.037974684,0,0.075949367,0.025316456,0,0.025316456,0.075949367,0.037974684,0,0,0,0,0.012658228,0.025316456,0,0.012658228,0,0,0.012658228,0.050632911,0,0,0,0,0,0.012658228,0
石川県,ホテルインターゲート金沢,52,0,0,,46,54,4.583333333,,4.54,,4.217391304,,8.461538462,28,5,0.442307692,0,0,,0,0.115384615,0.192307692,0.192307692,0.307692308,0.173076923,0.019230769,0,0,0,0.692307692,0.288461539,0.461538462,0.346153846,0.076923077,0.115384615,0,0.134615385,0.057692308,0.115384615,0.403846154,0.019230769,0,0.076923077,0.115384615,0.019230769,0,0,0,0.153846154,0.096153846,0.692307692,0.019230769,0,0,0,0.019230769,0,0,0,0,0,0,0.019230769,0,0.115384615,0,0.019230769,0.038461538,0.076923077,0.096153846,0.134615385,0.173076923,0.153846154,0.038461538,0.096153846,0.115384615,0.057692308,0,0.038461538,0,0,0,0,0,0.057692308,0,0.019230769,0,0.019230769,0.076923077,0.076923077,0.019230769,0.115384615,0.019230769,0.019230769,0.019230769,0,0.038461538,0,0.057692308,0.076923077,0.038461538,0.019230769,0,0.153846154,0.038461538,0,0,0,0,0.038461538,0,0,0,0,0,0,0.038461538,0.019230769,0,0,0,0,0,0
石川県,ホテルマイステイズプレミア金沢,82,0,0,,31,55,4.56,,4.581081081,,4.666666667,,8.402439024,46,14,0.390243902,0,0,,0.036585366,0.182926829,0.195121951,0.195121951,0.280487805,0.109756098,0,0,0,0,0.451219512,0.536585366,0.414634146,0.365853659,0.06097561,0.158536585,0,0.085365854,0.048780488,0.085365854,0.097560976,0.012195122,0,0.243902439,0.06097561,0.182926829,0.134146342,0,0,0.231707317,0.170731707,0.609756098,0.085365854,0,0,0,0.036585366,0,0,0,0,0,0,0.012195122,0,0.085365854,0.048780488,0.024390244,0.097560976,0.085365854,0.085365854,0.12195122,0.085365854,0.109756098,0.024390244,0.085365854,0.170731707,0.036585366,0.024390244,0.024390244,0,0,0,0,0,0,0.024390244,0,0.012195122,0.024390244,0.097560976,0.243902439,0.12195122,0.012195122,0,0.06097561,0,0.012195122,0.06097561,0.024390244,0,0.036585366,0,0.024390244,0.036585366,0.06097561,0.024390244,0.012195122,0,0,0,0.024390244,0.012195122,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0.024390244
石川県,チサンバジェット金沢駅前,206,3,4,-0.25,14,34,4.136363636,1.333333333,4.176100629,2.666666667,4.432989691,4,7.305825243,65,64,0.004854369,1,1,0,0.009708738,0.121359223,0.194174757,0.208737864,0.349514563,0.101941748,0.014563107,0,0,0,0.59223301,0.383495146,0.36407767,0.276699029,0.131067961,0.223300971,0.004854369,0.451456311,0.048543689,0.072815534,0.087378641,0.024271845,0,0.033980583,0.208737864,0,0.004854369,0,0,0.077669903,0.063106796,0.368932039,0.033980583,0,0,0,0.024271845,0,0,0,0,0,0,0.004854369,0,0.427184466,0.024271845,0.033980583,0.09223301,0.101941748,0.131067961,0.09223301,0.097087379,0.106796117,0.082524272,0.111650485,0.082524272,0.019417476,0.024271845,0.019417476,0,0,0.004854369,0.014563107,0.004854369,0.009708738,0.019417476,0,0.004854369,0.038834951,0.053398058,0.165048544,0.087378641,0.048543689,0.024271845,0.058252427,0.014563107,0,0.029126214,0,0.014563107,0.048543689,0.004854369,0.004854369,0.058252427,0.101941748,0.019417476,0.014563107,0.004854369,0.004854369,0.004854369,0.009708738,0.033980583,0,0,0.014563107,0.004854369,0,0.014563107,0.009708738,0.009708738,0.019417476,0,0,0.004854369,0
石川県,トリフィートホテル&ポッド金沢百万石通,100,1,0,,27,43,4.404255319,4,4.467391304,5,4.571428571,5,8.49,53,9,0.44,1,0,1,0,0.12,0.18,0.14,0.4,0.15,0.01,0,0,0,0.5,0.5,0.43,0.35,0.07,0.15,0,0.58,0.01,0.17,0.06,0,0,0.02,0.05,0,0.02,0,0,0.13,0.11,0.61,0.1,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.16,0.07,0.06,0.04,0.13,0.11,0.07,0.08,0.08,0.09,0.03,0.07,0.08,0.09,0.01,0,0,0,0.01,0,0,0.04,0.01,0.01,0.03,0.04,0.21,0.08,0,0.02,0.05,0.03,0.01,0.04,0,0,0.14,0.01,0,0.03,0.11,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0.01,0.02,0,0,0,0
石川県,金沢東急ホテル,31,1,3,-0.666666667,66,44,4.548387097,5,4.548387097,4,4.619047619,5,8.419354839,15,4,0.35483871,0,0,0,0,0.161290323,0.129032258,0.258064516,0.35483871,0.096774194,0,0,0,0,0.387096774,0.548387097,0.548387097,0.290322581,0.064516129,0,0.096774194,0.064516129,0.064516129,0.129032258,0.35483871,0,0,0.193548387,0,0.064516129,0.032258065,0,0,0.35483871,0.064516129,0.741935484,0.161290323,0,0,0,0,0,0,0,0,0,0,0.064516129,0,0,0,0.032258065,0.064516129,0.064516129,0.129032258,0.064516129,0.096774194,0.096774194,0.064516129,0.032258065,0.225806452,0.064516129,0.064516129,0.032258065,0,0,0,0,0,0,0.032258065,0,0,0,0,0.129032258,0.129032258,0,0,0.387096774,0,0,0.032258065,0.032258065,0,0.032258065,0.032258065,0.032258065,0.032258065,0.032258065,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
